COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,NUMBER_VACCINES_TYPES_USED
Falkland Islands (Malvinas),FLK,AMRO,OWID,4/14/2021,4407,2632,126.529,75.567,1775,50.962,1
Saint Helena,SHN,AFRO,OWID,5/5/2021,7892,4361,129.995,71.833,3531,58.162,1
Faroe Islands,FRO,EURO,OWID,11/5/2021,78347,40205,160.334,82.278,38142,78.056,2
Greenland,GRL,EURO,OWID,12/10/2021,78120,40351,137.603,71.076,37769,66.528,1
Gibraltar,GIB,EURO,OWID,12/11/2021,103818,41075,308.148,121.917,39907,118.45,1
Isle of Man,IMN,EURO,OWID,12/14/2021,133572,68519,157.084,80.58,65053,76.504,3
Jersey,JEY,EURO,OWID,12/8/2021,194274,80449,180.224,74.631,75960,70.466,3
Guernsey,GGY,EURO,OWID,12/14/2021,106109,N/A,164.592,N/A,N/A,N/A,3
Liechtenstein,LIE,OTHER,OWID,12/14/2021,57506,25958,148.414,66.994,25443,65.664,2
Philippines,PHL,WPRO,REPORTING,12/2/2021,90259621,56110301,82.368,51.204,37353438,34.087,10
Nigeria,NGA,AFRO,REPORTING,12/15/2021,12214538,8181113,5.925,3.969,4031004,1.955,1
Oman,OMN,EMRO,REPORTING,10/10/2021,5271912,2962504,103.237,58.013,2309408,45.224,5
Curaçao,CUW,AMRO,REPORTING,12/10/2021,199029,103299,121.29,62.951,95730,58.339,3
Niue,NIU,WPRO,REPORTING,8/2/2021,2352,1202,145.365,74.289,1150,71.075,1
Viet Nam,VNM,WPRO,REPORTING,12/9/2021,131033342,74647961,134.616,76.689,56385381,57.927,6
Seychelles,SYC,AFRO,REPORTING,12/10/2021,182903,82117,185.977,83.497,78214,79.529,4
Thailand,THA,SEARO,REPORTING,12/4/2021,91549177,49129722,131.159,70.386,42419455,60.773,7
Panama,PAN,AMRO,REPORTING,12/10/2021,6089201,3103139,141.125,71.919,2769469,64.186,2
Fiji,FJI,WPRO,REPORTING,12/12/2021,1257375,659250,140.262,73.54,598125,66.722,3
Canada,CAN,AMRO,REPORTING,12/10/2021,62536090,30854816,165.693,81.752,29029275,76.915,5
Belize,BLZ,AMRO,REPORTING,12/10/2021,416878,229107,104.841,57.618,196741,49.479,5
Sint Eustatius,XBA,AMRO,REPORTING,12/10/2021,2963,1509,94.393,48.073,1454,46.32,1
Bonaire,XAA,AMRO,REPORTING,12/10/2021,32222,17044,154.062,81.492,15178,72.57,1
Democratic Republic of the Congo,COD,AFRO,REPORTING,12/14/2021,256561,195619,0.286,0.218,83718,0.093,1
Montserrat,MSR,AMRO,REPORTING,12/10/2021,2949,1531,58.992,30.626,1417,28.346,1
Mali,MLI,AFRO,REPORTING,12/16/2021,989985,843144,4.889,4.164,343162,1.695,1
Malawi,MWI,AFRO,REPORTING,12/15/2021,1571907,1230532,8.217,6.432,640796,3.35,2
Bhutan,BTN,SEARO,REPORTING,12/5/2021,1154093,589482,149.57,76.397,564611,73.173,5
Madagascar,MDG,AFRO,REPORTING,12/6/2021,742069,589003,2.68,2.127,541160,1.954,3
Jamaica,JAM,AMRO,REPORTING,12/10/2021,1155017,693057,39.005,23.405,534394,18.047,4
Mauritius,MUS,AFRO,REPORTING,11/23/2021,1875132,916524,147.443,72.067,914936,71.942,3
Kuwait,KWT,EMRO,REPORTING,12/15/2021,6719055,3320794,157.334,77.76,3193897,74.789,5
Ecuador,ECU,AMRO,REPORTING,12/10/2021,25840596,13915136,146.463,78.87,11759694,66.653,4
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,12/10/2021,26314390,16415684,92.539,57.729,9858581,34.669,4
Nauru,NRU,WPRO,REPORTING,8/20/2021,14790,7612,136.515,70.26,7178,66.254,2
South Sudan,SSD,AFRO,REPORTING,12/15/2021,268640,227262,2.4,2.03,181577,1.622,2
Honduras,HND,AMRO,REPORTING,12/10/2021,8656964,4805891,87.403,48.522,3619682,36.545,6
Bermuda,BMU,AMRO,REPORTING,12/10/2021,106520,46054,171.053,73.955,45029,72.309,2
Equatorial Guinea,GNQ,AFRO,REPORTING,12/7/2021,446624,247933,31.834,17.672,198691,14.162,2
Republic of Korea,KOR,WPRO,REPORTING,12/13/2021,83142509,42958480,162.169,83.79,41687101,81.31,5
Burkina Faso,BFA,AFRO,REPORTING,12/6/2021,512972,459795,2.454,2.2,334172,1.599,3
Bangladesh,BGD,SEARO,REPORTING,12/7/2021,105277826,65618894,63.925,39.844,39658932,24.081,8
Lebanon,LBN,EMRO,REPORTING,12/15/2021,4296564,2206254,62.949,32.324,1873223,27.445,4
Cook Islands,COK,WPRO,REPORTING,12/6/2021,25339,12841,144.267,73.11,12498,71.157,1
Colombia,COL,AMRO,REPORTING,12/10/2021,59615178,36908854,117.162,72.537,25649090,50.408,5
New Zealand,NZL,WPRO,REPORTING,12/10/2021,7855438,3946122,162.9,81.832,3739155,77.54,4
Mauritania,MRT,AFRO,REPORTING,12/16/2021,1820362,1110533,39.15,23.884,709829,15.266,2
Somalia,SOM,EMRO,REPORTING,12/9/2021,1147627,892093,7.221,5.613,664422,4.181,4
Nicaragua,NIC,AMRO,REPORTING,12/10/2021,6942756,4402422,104.803,66.456,2540334,38.347,8
Botswana,BWA,AFRO,REPORTING,12/10/2021,1113560,1113560,47.353,47.353,992959,42.224,6
Cabo Verde,CPV,AFRO,REPORTING,12/13/2021,557243,301215,100.226,54.177,254463,45.768,4
Burundi,BDI,AFRO,REPORTING,12/15/2021,4928,3681,0.041,0.031,2993,0.025,1
India,IND,SEARO,REPORTING,12/7/2021,1294608045,804768300,93.812,58.316,489839745,35.496,5
Mexico,MEX,AMRO,REPORTING,12/10/2021,134370326,78268776,104.217,60.705,65422436,50.742,7
Ethiopia,ETH,AFRO,REPORTING,12/16/2021,10543857,6717334,9.171,5.843,3826523,3.328,4
Jordan,JOR,EMRO,REPORTING,12/12/2021,8196286,4232252,80.331,41.48,3821685,37.456,6
Martinique,MTQ,AMRO,REPORTING,12/10/2021,278072,137392,74.1,36.612,127703,34.03,1
Guinea-Bissau,GNB,AFRO,REPORTING,12/16/2021,406401,385186,20.65,19.572,21215,1.078,2
Saint Lucia,LCA,AMRO,REPORTING,12/10/2021,104525,54930,56.922,29.914,47440,25.835,3
Guyana,GUY,AMRO,REPORTING,12/10/2021,687627,404122,87.423,51.379,283505,36.044,6
El Salvador,SLV,AMRO,REPORTING,12/10/2021,9286056,4437093,143.166,68.408,4091919,63.086,6
Haiti,HTI,AMRO,REPORTING,12/10/2021,183974,117644,1.613,1.032,66671,0.585,2
Uruguay,URY,AMRO,REPORTING,12/10/2021,6850100,2755210,197.197,79.316,2664191,76.695,3
Puerto Rico,PRI,AMRO,REPORTING,12/10/2021,5566080,2804087,194.56,98.016,2395955,83.75,3
Japan,JPN,WPRO,REPORTING,12/9/2021,198014376,100036244,156.562,79.095,97941682,77.439,4
Timor-Leste,TLS,SEARO,REPORTING,12/7/2021,1142003,652294,86.617,49.474,489709,37.143,4
Cayman Islands,CYM,AMRO,REPORTING,12/10/2021,128181,58371,195.041,88.818,56486,85.949,1
French Polynesia,PYF,WPRO,REPORTING,12/13/2021,324455,168496,115.502,59.983,155959,55.52,2
Syrian Arab Republic,SYR,EMRO,REPORTING,12/12/2021,1548574,1002945,8.849,5.731,763025,4.36,6
French Guiana,GUF,AMRO,REPORTING,12/10/2021,171617,88733,57.458,29.708,77801,26.048,2
Bahamas,BHS,AMRO,REPORTING,12/10/2021,288008,154135,73.239,39.196,143672,36.535,4
Saudi Arabia,SAU,EMRO,REPORTING,12/15/2021,48212699,24823832,138.487,71.304,22859502,65.662,4
Maldives,MDV,SEARO,REPORTING,12/6/2021,760818,396004,140.75,73.26,364814,67.49,8
Qatar,QAT,EMRO,REPORTING,12/15/2021,5088710,N/A,176.627,N/A,N/A,N/A,4
Côte d’Ivoire,CIV,AFRO,REPORTING,12/12/2021,4812235,3306299,18.243,12.534,1505936,5.709,5
Liberia,LBR,AFRO,REPORTING,12/15/2021,880313,784838,17.405,15.518,755263,14.933,1
Algeria,DZA,AFRO,REPORTING,11/30/2021,12293060,6875003,28.034,15.678,5391232,12.294,4
Brunei Darussalam,BRN,WPRO,REPORTING,12/10/2021,793620,404210,181.408,92.395,372506,85.148,5
Mozambique,MOZ,AFRO,REPORTING,12/13/2021,11730770,7105910,37.532,22.735,4624860,14.797,3
British Virgin Islands,VGB,AMRO,REPORTING,12/10/2021,34992,18288,115.726,60.482,16704,55.244,2
Pakistan,PAK,EMRO,REPORTING,12/13/2021,133613045,84783151,60.488,38.382,57256702,25.921,8
Anguilla,AIA,AMRO,REPORTING,12/10/2021,20284,10079,135.209,67.184,9223,61.478,2
occupied Palestinian territory,PSE,EMRO,REPORTING,12/6/2021,3184868,2020110,62.431,39.599,1403992,27.522,8
Antigua and Barbuda,ATG,AMRO,REPORTING,12/10/2021,119121,61776,121.64,63.082,57345,58.558,6
Chad,TCD,AFRO,REPORTING,12/12/2021,285922,205259,1.741,1.25,80663,0.491,1
Vanuatu,VUT,WPRO,REPORTING,12/12/2021,152697,102308,49.715,33.309,50403,16.41,2
Afghanistan,AFG,EMRO,REPORTING,12/12/2021,4491370,3985971,11.538,10.239,3658798,9.399,4
Gambia,GMB,AFRO,REPORTING,12/11/2021,273365,242172,11.312,10.021,228236,9.444,2
Kenya,KEN,AFRO,REPORTING,12/15/2021,8515984,5101374,15.837,9.487,3414610,6.35,5
Pitcairn Islands,PCN,WPRO,REPORTING,11/11/2021,74,37,148,74,37,74,1
Comoros,COM,AFRO,REPORTING,12/10/2021,527119,282378,60.616,32.472,244741,28.144,3
Indonesia,IDN,SEARO,REPORTING,12/7/2021,243523258,143489448,89.032,52.46,100033810,36.572,6
Djibouti,DJI,EMRO,REPORTING,12/15/2021,126786,107033,12.833,10.833,66765,6.758,6
Mongolia,MNG,WPRO,REPORTING,12/10/2021,5215582,2262703,159.095,69.021,2155868,65.762,6
Grenada,GRD,AMRO,REPORTING,12/10/2021,75893,40930,67.447,36.375,34963,31.072,4
Aruba,ABW,AMRO,REPORTING,12/10/2021,162151,83857,151.875,78.543,78294,73.332,2
